DOI,Tortured Phrases,filename
10.1109/iceeccot.2017.8284585,administered machine learning • keen home • preparation information • shrewd home • brilliant AND keen AND savvy AND shrewd • back proliferation AND neural,iceeccot.2017.8284585.pdf
10.1109/icpcsi.2017.8391873,bunching strategies • fluffy rationale • fluffy set • information digging • manufactured neural • yield layer AND neural • back proliferation AND neural,icpcsi.2017.8391873.pdf
10.1109/iccsp.2017.8286714,Mel Recurrence Cepstral • counterfeit neural • discourse feeling acknowledgment • discourse flag • enthusiastic condition • fake neural • feeling acknowledgment • speaker autonomous • speaker subordinate • speaker-autonomous • speaker-subordinate,iccsp.2017.8286714.pdf
10.1109/iccicct.2016.7987938,K-closest neighbors • arbitrary timberland • exactness and review • fluffy C implies • genuine positive TP~5 • irregular backwoods • irregular timberland • irregular woodland,iccicct.2016.7987938.pdf
10.1109/peeic47157.2019.8976588,computerized reasoning • counterfeit neural • fake neural • hereditary calculation • man-made consciousness • back engendering AND neural,peeic47157.2019.8976588.pdf
10.1109/icspc51351.2021.9451739,electronic wellbeing records • haze registering • highlight extraction • m-wellbeing • mist figuring • mist registering • pre-preparing • profound learning AND deep learning,icspc51351.2021.9451739.pdf
10.1109/iciem48762.2020.9160322,Wavelet change • choice tree • enactment work • populace size • pre-preparing • prescient model • reinforce vector machine • shrouded layer • squared blunder • back proliferation AND neural,iciem48762.2020.9160322.pdf
10.1109/i-smac52330.2021.9640749,10-crease cross • backing vector machine • bogus positive FP~5 • disarray lattice • hereditary algorithm • high-exactness • k-implies grouping • pre-handling • preparation dataset • preparation information,i-smac52330.2021.9640749.pdf
10.1109/upcon50219.2020.9376567,Wavelet change • choice tree • enactment work • exactness accuracy~5 • highlight extraction • shrouded layer • slope plunge • strategic relapse • yield layer AND neural • profound learning AND deep learning,upcon50219.2020.9376567.pdf
10.1109/iceca.2017.8212757,accuracy esteem • blunder rate • crude information • keen home • misfortune rate • parcel misfortune • recurrence band • shrewd home • signal to clamor • brilliant AND keen AND savvy AND shrewd,iceca.2017.8212757.pdf
10.1109/icacccn51052.2020.9362791,K-closest neighbors • arbitrary woodland • bolster vector machine • calculated relapse • choice tree • crude information • gatherings clustering~10 • highlight extraction • preparation dataset • strategic relapse,icacccn51052.2020.9362791.pdf
10.1109/i-pact52855.2021.9696634,computerized reasoning • concealed layer • enactment work • preparation information • profound neural system • resistant framework • shrouded layer • stochastic slope drop • yield layer AND neural • enhancement calculation AND optimiz*,i-pact52855.2021.9696634.pdf
10.1109/idea49133.2020.9170712,approval dataset • computerized reasoning • discourse acknowledgement OR discourse acknowledgment • fake neural • man-made consciousness • man-made reasoning • preparation dataset • preparing information AND (training set OR training dataset),idea49133.2020.9170712.pdf
10.1109/iccsp48568.2020.9182096,as pursues • enactment work • exactness accuracy~5 • highlight extraction • k-implies calculation • likelihood appropriation • man-made brainpower • pre-handling • sigmoid capacity • PC helped AND (be that as it OR on the off chance),iccsp48568.2020.9182096.pdf
10.1109/icscan49426.2020.9262296,approval misfortune • convolutional neural system • discrete cosine change • fake neural • help vector machine • highlight extraction • light-touchy • pre-preparing • profound convolutional • profound neural system,icscan49426.2020.9262296.pdf
10.1109/icscan49426.2020.9262406,attractive reverberation • district of intrigue • fluffy C implies • fluffy set • motivation commotion • square mistake • PC helped AND (be that as it OR on the off chance),icscan49426.2020.9262406.pdf
10.1109/icaccs51430.2021.9441972,K-closest neighbors • affiliation rule mining • backing vector machine • discourse acknowledgement OR discourse acknowledgment • driving reason • exactness accuracy~5 • greasy liver • prescient model,icaccs51430.2021.9441972.pdf
10.1109/icoei51242.2021.9452940,choice tree • counterfeit neural • crude information • long momentary memory • man-made brainpower • pre-handling • strategic relapse • profound learning AND deep learning,icoei51242.2021.9452940.pdf
10.1109/icssit53264.2022.9716505,K-closest neighbors • actuation work • concealed layer • direct relapse • enactment work • pre-handling • shrouded layer • slant investigation • yield layer AND neural • layer yields AND neural network,icssit53264.2022.9716505.pdf
10.1109/icesc54411.2022.9885688,calculated relapse • cardiovascular breakdown • choice tree • coronary illness • preparation dataset,icesc54411.2022.9885688.pdf
10.1109/icesc54411.2022.9885300,calculated relapse • coronary illness • gathering of patients • man-made reasoning • pre-handling,icesc54411.2022.9885300.pdf
10.1109/icacite53722.2022.9823836,blunder rate • crude information • head part examination • head part investigation • high-exactness • highlight extraction • light-touchy,icacite53722.2022.9823836.pdf
10.1109/icacite53722.2022.9823533,computerized reasoning • counterfeit neural • exactness accuracy~5 • facial acknowledgement OR facial acknowledgment • head part examination • help vector machine • high-exactness • highlight extraction • profound organizations • profound learning AND deep learning,icacite53722.2022.9823533.pdf
10.1109/incet54531.2022.9825439,cardiovascular breakdown • coronary illness • diastolic circulatory strain • myocardial localized necrosis • random woodland • systolic circulatory strain • supply route AND artery,incet54531.2022.9825439.pdf
10.1109/esci53509.2022.9758340,arbitrary woodland • calculated relapse • collector working trademark • direct relapse • fake neural • gullible Bayes • highlight extraction • prescient framework • relapse tree • strategic relapse,esci53509.2022.9758340.pdf
10.1109/icais50930.2021.9395793,bosom disease • bosom malignancy • bosom malignant • bosom tumor • choice tree • enactment work • highlight extraction • irregular backwoods • prescient model • strategic relapse,icais50930.2021.9395793.pdf
10.1109/iccca52192.2021.9666403,calculated relapse • direct relapse • preparation information • speculation capacity • stowed away layers • straight relapse • back spread AND neural • yield layer AND neural,iccca52192.2021.9666403.pdf
10.1109/icrito51393.2021.9596153,concealed layer • conjugate inclination • crude information • facial acknowledgement OR facial acknowledgment • pre-handling • profound neural system • strategic relapse • yield layer AND neural • back proliferation AND neural • picture acknowledgment AND image recognition,icrito51393.2021.9596153.pdf
10.1109/icosec51865.2021.9591975,actuation work • counterfeit neural • man-made reasoning • quick Fourier transform • secret layer • sigmoid capacity • square blunder • squared mistake • yield layer AND neural • back proliferation AND neural,icosec51865.2021.9591975.pdf
10.1109/icoei51242.2021.9453081,K-closest neighbors • arbitrary timberland • arbitrary woods • choice tree • crude information • irregular backwoods • pre-handling • pre-preparing • prescient model • slope plunge,icoei51242.2021.9453081.pdf
10.1109/iciccs51141.2021.9432289,Wavelet change • attractive reverberation • flag to commotion • motivation commotion • preparation dataset • square blunder • squared mistake • back proliferation AND neural,iciccs51141.2021.9432289.pdf
10.1109/icacccn51052.2020.9362795,directing convention • shrewd gadget • steering convention,icacccn51052.2020.9362795.pdf
10.1109/icpects49113.2020.9336965,concealed layer • creature models • discourse acknowledgement OR discourse acknowledgment • highlight extraction • penmanship acknowledgment • shrouded Markov • shrouded layer • yield layer AND neural,icpects49113.2020.9336965.pdf
10.1109/icssit48917.2020.9214238,foreswearing of administration • imperativeness usage • programming bundle • remote sensor frameworks • sensor mastermind • vitality utilization,icssit48917.2020.9214238.pdf
10.1109/iccsp48568.2020.9182098,Wavelet change • as pursues • attractive reverberation • covariance lattice • sign to clamor • sign to commotion,iccsp48568.2020.9182098.pdf
10.1109/iccsp48568.2020.9182082,as pursues • casing picture~3 • convolutional neural system • highlight extraction • preparation information • profound convolutional,iccsp48568.2020.9182082.pdf
10.1109/icces51350.2021.9489030,affirmation exactness • facial highlights • high-exactness • maintain vector machine • profound model • profound learning AND deep learning,icces51350.2021.9489030.pdf
10.1109/icsns.2018.8573687,concealed layer • fake neural • shrouded layer • yield layer AND neural • profound learning AND deep learning • back proliferation AND neural,icsns.2018.8573687.pdf
10.1109/iciet48527.2019.9290600,as pursues • coronary illness • heart ailments,iciet48527.2019.9290600.pdf
10.1109/iccmc48092.2020.iccmc-000159,choice emotionally supportive • common language preparing • direct blend • information revelation in databases • man-made brainpower • pre-preparing • supposition examination • social database AND SQL • content arrangement AND classification,iccmc48092.2020.iccmc-000159.pdf
10.1109/icicct.2018.8473078,asthma assaults • fleecy reason • imperativeness usage • unending ailments • brilliant AND keen AND savvy AND shrewd,icicct.2018.8473078.pdf
10.1109/iccike47802.2019.9004238,Alzheimer's infection • affectability and particularity • cutting-edge execution • exactness accuracy~5 • high-exactness • highlight extraction • processed tomography (CT) • back spread AND neural • preparing information AND (training set OR training dataset),iccike47802.2019.9004238.pdf
10.1109/icac3n53548.2021.9725687,choice emotionally supportive • computerized reasoning • concealed layer • perplexity framework • shrouded layer • sigmoid capacity • back spread AND neural • yield layer AND neural • back proliferation AND neural,icac3n53548.2021.9725687.pdf
10.1109/icsss49621.2020.9202278,Fourier change • evacuates the commotion • high-exactness • highlight extraction • k-implies bunching • k-implies grouping • plant ailments • profound neural system • back spread AND neural,icsss49621.2020.9202278.pdf
10.23919/icact48636.2020.9061541,counterfeit consciousness • crude information • keen city • vitality productivity,icact48636.2020.9061541.pdf
10.1109/icscan49426.2020.9262403,K-closest neighbors • bosom disease • bosom malignancy • bosom malignant • choice tree • crude information • dimensionality decrease • preparation information • unaided learning calculations,icscan49426.2020.9262403.pdf
10.1109/icscet.2018.8537296,concealed layer • convolutional neural system • discrete cosine change • facial acknowledgement OR facial acknowledgment • facial highlights • fake neural • head part investigation • high-exactness • shrouded Markov,icscet.2018.8537296.pdf
10.1109/acit.2018.8672673,highlight extraction • penmanship acknowledgment • shrouded Markov • shrouded layer • back spread AND neural • yield layer AND neural • back engendering AND neural,acit.2018.8672673.pdf
10.1109/csnt.2017.8418562,10-crease cross • affectability and specificity • choice tree • coronary illness • information digging • k-implies calculation • prescient model • world wellbeing association • youthful grown-ups,csnt.2017.8418562.pdf
10.1109/icces51350.2021.9488990,crude information • enthusiastic state • fake neural • man-made consciousness • man-made reasoning • repetitive neural networks • picture arrangement AND image classification,icces51350.2021.9488990.pdf
10.1109/ipact.2017.8245086,counterfeit consciousness • over the top energy • programming bundle • warm solace • versatile correspondence AND network,ipact.2017.8245086.pdf
10.1109/iccmc.2017.8282552,Wavelet change • concealed Markov • evacuates the commotion • facial acknowledgement OR facial acknowledgment • highlight extraction • indistinguishable twins • monetary misfortunes • pre-handling • pre-preparing,iccmc.2017.8282552.pdf
10.1109/iccubea47591.2019.9129291,highlight extraction • penmanship acknowledgement • penmanship acknowledgment • sigmoid capacity • speculation execution • transcribed digit • yield layer AND neural,iccubea47591.2019.9129291.pdf
10.1109/icaccs48705.2020.9074416,bolster vector machine • convolution neural system • counterfeit neural • help vector machine • hereditary calculation • molecule swarm • pre-handling • pre-preparing • enhancement calculation AND optimiz*,icaccs48705.2020.9074416.pdf
10.1109/icscan49426.2020.9262360,DDoS assault • blunder rate • disavowal of administration,icscan49426.2020.9262360.pdf
10.1109/icscan49426.2020.9262344,computerized reasoning • convolutional neural system • high-exactness • man-made brainpower • misfortune in precision • viewpoint proportion • profound learning AND deep learning,icscan49426.2020.9262344.pdf
10.1109/iciss49785.2020.9315955,K-closest neighbors • area of intrigue • convolution neural system • district of intrigue • facial highlights • highlight extraction • locale of intrigue • preparation information • profound neural system,iciss49785.2020.9315955.pdf
10.1109/icssit53264.2022.9716377,convolutional profound • exactness accuracy~5 • facial acknowledgement OR facial acknowledgment • profound convolutional • profound neural organization • secret Markov • secret layer • yield layer AND neural • profound learning AND deep learning,icssit53264.2022.9716377.pdf
10.1109/iciem54221.2022.9853095,administered AI • calculated relapse • choice tree • computerized reasoning • enthusiastic state • man-made brainpower • man-made consciousness • man-made reasoning • regular language handling,iciem54221.2022.9853095.pdf
10.1109/icacite53722.2022.9823670,figured tomography • outwardly debilitated • straight relapse • text-to-discourse • profound learning AND deep learning,icacite53722.2022.9823670.pdf
10.1109/hora55278.2022.9799947,directing convention • man-made brainpower • steering convention • subterranean insect province • sunlight-based energy • steering table AND network,hora55278.2022.9799947.pdf
10.1109/iciccs53718.2022.9788281,attractive reverberation • bogus negative FN~5 • bogus positive FP~5 • genuine negative TN~5 • genuine positive TP~5 • preparation information • profound learning AND deep learning,iciccs53718.2022.9788281.pdf
10.1109/dasa54658.2022.9765063,counterfeit neural • indistinguishable twins • polymerase chain response • secret layer • sigmoid capacity • teachable boundaries,dasa54658.2022.9765063.pdf
10.1109/icscds53736.2022.9760896,aid vector machine • prescient model • speculation execution,icscds53736.2022.9760896.pdf
10.1109/accai53970.2022.9752534,administered ML • approval dataset • counterfeit neural • enactment work • teachable boundaries • totally related layer,accai53970.2022.9752534.pdf
10.1109/mecon53876.2022.9752414,arbitrary timberland • arbitrary woodland • choice tree • crude information • irregular woodland • pre-handling • prescient model,mecon53876.2022.9752414.pdf
10.1109/icssit53264.2022.9716475,actuation work • enactment work • manufactured neural • neural organize • prescient model • vitality utilization • yield layer AND neural • layer yields AND neural network • preparing information AND (training set OR training dataset),icssit53264.2022.9716475.pdf
10.1109/iccmc51019.2021.9418485,directing convention • malignant hub • noxious hub • pernicious hub,iccmc51019.2021.9418485.pdf
10.1109/tribes52498.2021.9751628,arbitrary timberland • arbitrary woodland • calculated relapse • irregular timberland • irregular woodland • prescient capacity • preparing information AND (training set OR training dataset),tribes52498.2021.9751628.pdf
10.1109/icatme50232.2021.9732705,attractive reverberation • bosom disease • bosom malignant • bosom tumor • help vector machine • otherworldly pinnacles • prescient model • profound neural organization • move learning AND transfer learning,icatme50232.2021.9732705.pdf
10.1109/icac3n53548.2021.9725511,crude information • exactness accuracy~5 • pre-preparing • preparation dataset • preparation information • prescient model • speculation capacity • move learning AND transfer learning • profound learning AND deep learning,icac3n53548.2021.9725511.pdf
10.1109/smart52563.2021.9676286,extricated highlights • highlight extraction • respiratory plot • sound individuals • tainted individuals • profound learning AND deep learning • picture arrangement AND image classification,smart52563.2021.9676286.pdf
10.1109/i-smac52330.2021.9640832,direct relapse • exactness accuracy~5 • facial highlights • feeling acknowledgment • feeling recognition • profound neural organization • secret layer • slant investigation • profound learning AND deep learning,i-smac52330.2021.9640832.pdf
10.1109/icosec51865.2021.9591950,profound convolutional • transcribed digit • profound learning AND deep learning • picture arrangement AND image classification,icosec51865.2021.9591950.pdf
10.1109/icosec51865.2021.9591715,blunder rate • earth-wide temperature boost • help vector machine • highlight extraction • highlight portrayal • plant ailments • pre-preparing • profound learning AND deep learning • picture arrangement AND image classification,icosec51865.2021.9591715.pdf
10.1109/icesc51422.2021.9532682,disarray network • man-made reasoning • profound organizations • steering convention • worldwide situating framework • profound learning AND deep learning,icesc51422.2021.9532682.pdf
10.1109/esmarta52612.2021.9515748,haze figuring • haze registering • keen city • keen home • mist figuring • mist registering • brilliant AND keen AND savvy AND shrewd,esmarta52612.2021.9515748.pdf
10.1109/icces51350.2021.9489012,blunder rate • bosom malignant • highlight extraction • insusceptible framework • lung knob • pre-handling • profound learning AND deep learning,icces51350.2021.9489012.pdf
10.1109/picc51425.2020.9362425,Wavelet change • casing picture~3 • crude information • profound organizations • sign to commotion • profound learning AND deep learning,picc51425.2020.9362425.pdf
10.1109/smart50582.2020.9337123,administered learning calculations • choice tree • circulatory framework • coronary illness • counterfeit neural • kidney sickness • prescient model • random backwoods • random timberland,smart50582.2020.9337123.pdf
10.1109/esci48226.2020.9167537,coronary corridor • coronary course • coronary illness • credulous Bayes • sound flag • PC helped AND (be that as it OR on the off chance) • supply route AND artery,esci48226.2020.9167537.pdf
10.1109/icces48766.2020.9137940,actuation work • bolster vector machine • enactment work • exactness accuracy~5 • help vector machine • highlight extraction • preparation information • spam sifting • back engendering AND neural,icces48766.2020.9137940.pdf
10.1109/icaccs48705.2020.9074269,Wavelet change • blunder rate • exactness and review • highlight extraction • likelihood appropriation • loads and predispositions NOT COVID • mind tumor • shrouded layer • yield layer AND neural,icaccs48705.2020.9074269.pdf
10.1109/incos45849.2019.8951360,convolutional neural system • crude information • high-exactness • highlight extraction • optical character acknowledgment • profound convolutional • profound neural system • profound learning AND deep learning • picture arrangement AND image classification,incos45849.2019.8951360.pdf
10.1109/ic3i46837.2019.9055571,an expanding pattern • enlarged reality • facial acknowledgement OR facial acknowledgment • information recuperation • man-made brainpower • man-made consciousness,ic3i46837.2019.9055571.pdf
10.1109/icssit46314.2019.8987884,figuring asset • keen gadget • shrewd gadget • brilliant AND keen AND savvy AND shrewd,icssit46314.2019.8987884.pdf
10.1109/icait47043.2019.8987352,bolster vector machine • counterfeit neural • driving reason • fluffy C implies • highlight extraction • highlights are extricated • intense lymphocytic leukemia • k-implies calculation • pre-handling,icait47043.2019.8987352.pdf
10.1109/ibssc47189.2019.8973069,area of enthusiasm • area of intrigue • as pursues • casing picture~3 • district of intrigue • locale of enthusiasm • locale of intrigue • pre-handling • pre-preparing,ibssc47189.2019.8973069.pdf
10.1109/infrkm.2018.8464773,crude information • exactness and review • high-exactness,infrkm.2018.8464773.pdf
10.1109/cesys.2018.8723876,as pursues • computerized reasoning • coveted yield • discourse acknowledgement OR discourse acknowledgment • exactness accuracy~5 • high-exactness • whatever remains of the paper,cesys.2018.8723876.pdf
10.1109/icsns.2018.8573617,actuation work • bolster vector machine • bunching clustering~20 • counterfeit neural • coveted yield • dimensionality decrease • learning revelation in databases • pre-preparing • strategic relapse,icsns.2018.8573617.pdf
10.1109/rice.2018.8509090,affectability and specificity • convolution neural system • convolutional neural system • fluffy rationale • genuine esteemed • interminable sickness • brilliant AND keen AND savvy AND shrewd,rice.2018.8509090.pdf
10.1109/iccci.2017.8117704,convolutional neural system • preparation dataset • profound convolutional • slope plunge • stochastic slope drop • profound learning AND deep learning,iccci.2017.8117704.pdf
10.1109/icpcsi.2017.8392184,actuation work • counterfeit neural • fake neural • hereditary calculation • shrouded layer • sigmoid capacity • back spread AND neural • yield layer AND neural • back engendering AND neural,icpcsi.2017.8392184.pdf
10.1109/iciinfs.2016.8262956,Wavelet change • choice emotionally supportive • geometric mutilations • highlight extraction • pre-preparing • picture highlights AND image features,iciinfs.2016.8262956.pdf
10.1109/igeht.2017.8094064,attractive reverberation • blunder rate • circulatory framework • evacuation of noise • gatherings clustering~10 • image determination • mind tumor • spinal string,igeht.2017.8094064.pdf
10.1109/gws.2017.8300494,choice emotionally supportive • choice tree • crude information • exactness accuracy~5 • highlight extraction • mind waves • recurrence band • examining recurrence AND sampling frequency,gws.2017.8300494.pdf
10.1109/iciccs48265.2020.9121177,convolution neural system • preparation dataset • prescient model • viewpoint proportion • wavelet highlights • profound learning AND deep learning • picture highlights AND image features • picture arrangement AND image classification,iciccs48265.2020.9121177.pdf
